dt,home_loc_nm,age_cd,sex_cd,h0_mov_dist,h1_mov_dist,h0_max_h_dist,h1_max_h_dist
20201207,충청북도,\N,\N,23263,8583,10646,5106
20201207,충청남도,\N,\N,24508,9787,11238,5913
20201207,제주특별자치도,\N,\N,28146,10754,17324,7852
20201207,전라북도,\N,\N,24103,9388,10939,5280
20201207,전라남도,\N,\N,25819,10723,12444,6251
20201207,인천광역시,\N,\N,21270,7516,9806,4389
20201207,울산광역시,\N,\N,20388,9164,9379,5012
20201207,세종특별자치시,\N,\N,24742,10156,12197,6545
20201207,서울특별시,\N,\N,18651,6818,9571,4452
20201207,부산광역시,\N,\N,20257,8149,9584,4576
20201207,대전광역시,\N,\N,20727,8327,9901,5035
20201207,대구광역시,\N,\N,21432,8672,9382,4488
20201207,광주광역시,\N,\N,22414,9668,10210,5270
20201207,경상북도,\N,\N,23967,9861,11214,5602
20201207,경상남도,\N,\N,23230,9479,10287,5018
20201207,경기도,\N,\N,22686,8030,10443,4767
20201207,강원도,\N,\N,22158,8068,11768,5378
20201207,\N,0,\N,4110,3841,2527,2877
20201207,\N,10,\N,6894,4043,4142,2743
20201207,\N,20,\N,17352,7822,10591,5648
20201207,\N,30,\N,24142,9405,11664,5868
20201207,\N,40,\N,27814,9729,12184,5498
20201207,\N,50,\N,29215,10769,12760,5768
20201207,\N,60,\N,23483,8238,10660,4444
20201207,\N,70,\N,12957,4326,6241,2460
20201207,\N,\N,1,28751,10028,12926,5761
20201207,\N,\N,2,14811,6595,7723,4078
20201207,\N,\N,\N,21884,8337,10363,4932
20201214,충청북도,\N,\N,21640,8325,10065,4876
20201214,충청남도,\N,\N,22973,9123,10756,5459
20201214,제주특별자치도,\N,\N,25515,9199,17279,7038
20201214,전라북도,\N,\N,22947,8920,10644,5014
20201214,전라남도,\N,\N,24589,10095,12185,5924
20201214,인천광역시,\N,\N,19947,6931,9337,3944
20201214,울산광역시,\N,\N,19515,8458,9082,4621
20201214,세종특별자치시,\N,\N,24019,9621,12173,6230
20201214,서울특별시,\N,\N,17414,6305,9118,4048
20201214,부산광역시,\N,\N,19468,7388,9209,4203
20201214,대전광역시,\N,\N,19802,7863,9609,4779
20201214,대구광역시,\N,\N,20333,7933,9003,4110
20201214,광주광역시,\N,\N,21570,8830,9903,4817
20201214,경상북도,\N,\N,22606,8952,10857,5187
20201214,경상남도,\N,\N,22546,8641,10048,4576
20201214,경기도,\N,\N,21308,7451,9919,4292
20201214,강원도,\N,\N,19989,7543,11085,5080
20201214,\N,0,\N,3847,3029,2640,2264
20201214,\N,10,\N,6421,3706,4307,2651
20201214,\N,20,\N,16887,7565,10700,5591
20201214,\N,30,\N,23183,8686,11321,5257
20201214,\N,40,\N,26484,9041,11678,4992
20201214,\N,50,\N,27459,9999,12014,5258
20201214,\N,60,\N,21399,7436,9768,3951
20201214,\N,70,\N,11474,3762,5656,2120
20201214,\N,\N,1,27314,9302,12414,5303
20201214,\N,\N,2,13761,6071,7387,3713
20201214,\N,\N,\N,20638,7711,9938,4520
20201221,충청북도,\N,\N,18447,11999,8520,7379
20201221,충청남도,\N,\N,19476,13066,9132,8568
20201221,제주특별자치도,\N,\N,20792,12290,14309,10855
20201221,전라북도,\N,\N,19320,12254,8983,7467
20201221,전라남도,\N,\N,20975,13709,10349,8847
20201221,인천광역시,\N,\N,16571,10046,7665,6115
20201221,울산광역시,\N,\N,16394,12241,7701,7308
20201221,세종특별자치시,\N,\N,20121,13395,10385,9652
20201221,서울특별시,\N,\N,14639,9399,7718,6779
20201221,부산광역시,\N,\N,16294,10580,7845,6492
20201221,대전광역시,\N,\N,16731,11389,8314,7673
20201221,대구광역시,\N,\N,16631,11295,7401,6298
20201221,광주광역시,\N,\N,18070,12272,8413,7462
20201221,경상북도,\N,\N,18778,12422,9185,7814
20201221,경상남도,\N,\N,18742,12360,8400,7044
20201221,경기도,\N,\N,17701,10883,8171,6749
20201221,강원도,\N,\N,16695,10650,9229,7693
20201221,\N,0,\N,3273,4549,2392,3878
20201221,\N,10,\N,5547,5665,3998,4498
20201221,\N,20,\N,14549,11311,9825,9681
20201221,\N,30,\N,19109,12412,9247,8438
20201221,\N,40,\N,21783,12739,9535,7594
20201221,\N,50,\N,22794,14180,9815,7796
20201221,\N,60,\N,18088,10712,8011,5874
20201221,\N,70,\N,9964,5478,4729,3155
20201221,\N,\N,1,22724,13220,10335,8155
20201221,\N,\N,2,11605,8899,6255,5998
20201221,\N,\N,\N,17247,11091,8325,7093
20201228,충청북도,\N,\N,17651,10989,8611,7337
20201228,충청남도,\N,\N,18589,11808,9370,8472
20201228,제주특별자치도,\N,\N,17648,12828,13773,11070
20201228,전라북도,\N,\N,17298,11271,8629,7242
20201228,전라남도,\N,\N,18638,13094,10157,8960
20201228,인천광역시,\N,\N,16117,9660,7678,6136
20201228,울산광역시,\N,\N,16076,12284,8053,7737
20201228,세종특별자치시,\N,\N,19464,12678,10582,9557
20201228,서울특별시,\N,\N,14401,9229,8120,7018
20201228,부산광역시,\N,\N,15809,10553,7962,6811
20201228,대전광역시,\N,\N,16217,10496,8591,7486
20201228,대구광역시,\N,\N,15943,11190,7641,6599
20201228,광주광역시,\N,\N,15311,10843,8075,6973
20201228,경상북도,\N,\N,17906,12003,9283,7893
20201228,경상남도,\N,\N,18242,12378,8700,7403
20201228,경기도,\N,\N,17342,10573,8433,6938
20201228,강원도,\N,\N,16330,10307,9340,7821
20201228,\N,0,\N,3579,4867,3072,4269
20201228,\N,10,\N,5221,6004,4020,4644
20201228,\N,20,\N,14182,10985,10584,9798
20201228,\N,30,\N,18643,12362,9791,8759
20201228,\N,40,\N,20902,12403,9629,7804
20201228,\N,50,\N,21894,13498,9822,8005
20201228,\N,60,\N,17055,9834,7854,5842
20201228,\N,70,\N,9319,4866,4557,2953
20201228,\N,\N,1,21668,12516,10383,8256
20201228,\N,\N,2,11346,8878,6591,6193
20201228,\N,\N,\N,16584,10724,8515,7240
20210104,충청북도,\N,\N,19954,7334,9342,4137
20210104,충청남도,\N,\N,20437,7453,9747,4393
20210104,제주특별자치도,\N,\N,20132,6155,15739,5937
20210104,전라북도,\N,\N,19534,7041,9697,4050
20210104,전라남도,\N,\N,21247,7982,11265,4929
20210104,인천광역시,\N,\N,18335,6036,8494,3285
20210104,울산광역시,\N,\N,18170,7672,8796,4165
20210104,세종특별자치시,\N,\N,21649,8176,11140,5059
20210104,서울특별시,\N,\N,15721,5319,8318,3303
20210104,부산광역시,\N,\N,18412,6678,9219,3807
20210104,대전광역시,\N,\N,17686,6452,8954,3871
20210104,대구광역시,\N,\N,18045,6958,8473,3670
20210104,광주광역시,\N,\N,18124,6638,9227,3833
20210104,경상북도,\N,\N,20334,7946,10308,4649
20210104,경상남도,\N,\N,20845,7964,9750,4247
20210104,경기도,\N,\N,19423,6448,8998,3552
20210104,강원도,\N,\N,17958,6560,10167,4426
20210104,\N,0,\N,3492,2710,3039,2137
20210104,\N,10,\N,5790,3207,4037,2220
20210104,\N,20,\N,15321,6631,10416,4922
20210104,\N,30,\N,21012,7555,10344,4445
20210104,\N,40,\N,24134,7735,10875,4169
20210104,\N,50,\N,24721,8410,11021,4347
20210104,\N,60,\N,18929,6252,8761,3304
20210104,\N,70,\N,9964,3117,4938,1780
20210104,\N,\N,1,24826,8006,11537,4479
20210104,\N,\N,2,12234,5148,6798,3135
20210104,\N,\N,\N,18625,6599,9203,3817
20210111,충청북도,\N,\N,22074,8939,10197,5066
20210111,충청남도,\N,\N,22812,9446,10764,5521
20210111,제주특별자치도,\N,\N,25878,9598,19498,7888
20210111,전라북도,\N,\N,22228,9034,10656,5100
20210111,전라남도,\N,\N,24539,9723,12686,5968
20210111,인천광역시,\N,\N,20189,7251,9309,4016
20210111,울산광역시,\N,\N,20002,9063,9568,4979
20210111,세종특별자치시,\N,\N,23856,10107,12362,6362
20210111,서울특별시,\N,\N,17466,6604,9062,4102
20210111,부산광역시,\N,\N,19969,7813,9845,4427
20210111,대전광역시,\N,\N,19708,8200,9763,4867
20210111,대구광역시,\N,\N,19949,8416,9225,4436
20210111,광주광역시,\N,\N,20969,8619,10291,4901
20210111,경상북도,\N,\N,22596,9513,11271,5439
20210111,경상남도,\N,\N,22900,9332,10570,4920
20210111,경기도,\N,\N,21520,7887,9985,4457
20210111,강원도,\N,\N,19708,7943,11102,5224
20210111,\N,0,\N,4307,3904,3718,3182
20210111,\N,10,\N,6726,4181,4798,2921
20210111,\N,20,\N,16684,7830,11150,5559
20210111,\N,30,\N,23005,9157,11217,5464
20210111,\N,40,\N,26551,9461,11892,5241
20210111,\N,50,\N,27502,10255,12130,5375
20210111,\N,60,\N,21689,7784,9801,4054
20210111,\N,70,\N,11868,4035,5698,2200
20210111,\N,\N,1,27340,9602,12593,5405
20210111,\N,\N,2,13900,6515,7577,3937
20210111,\N,\N,\N,20722,8082,10123,4682
20210118,충청북도,\N,\N,21837,9482,10145,5327
20210118,충청남도,\N,\N,22890,10044,10720,5788
20210118,제주특별자치도,\N,\N,26894,9778,19460,8249
20210118,전라북도,\N,\N,22195,9525,10470,5255
20210118,전라남도,\N,\N,24372,9691,12472,5925
20210118,인천광역시,\N,\N,20639,7941,9383,4255
20210118,울산광역시,\N,\N,20280,8632,9378,4812
20210118,세종특별자치시,\N,\N,24163,10790,12356,6687
20210118,서울특별시,\N,\N,17956,7292,9120,4337
20210118,부산광역시,\N,\N,20051,7372,9622,4232
20210118,대전광역시,\N,\N,19580,8684,9606,5063
20210118,대구광역시,\N,\N,20046,8256,9092,4321
20210118,광주광역시,\N,\N,21070,8700,10207,4895
20210118,경상북도,\N,\N,22463,9241,10953,5352
20210118,경상남도,\N,\N,22993,8725,10366,4704
20210118,경기도,\N,\N,21956,8602,10108,4733
20210118,강원도,\N,\N,19640,8077,10931,5306
20210118,\N,0,\N,4721,4028,4254,3216
20210118,\N,10,\N,7341,4434,5163,3002
20210118,\N,20,\N,17300,8218,10647,5632
20210118,\N,30,\N,23407,9640,11280,5676
20210118,\N,40,\N,26777,9848,11982,5419
20210118,\N,50,\N,27495,10558,12021,5491
20210118,\N,60,\N,21607,8051,9661,4152
20210118,\N,70,\N,11919,4257,5657,2265
20210118,\N,\N,1,27491,9890,12475,5504
20210118,\N,\N,2,14254,6909,7629,4091
20210118,\N,\N,\N,20972,8422,10089,4808
20210125,충청북도,\N,\N,22522,9300,10426,5177
20210125,충청남도,\N,\N,23777,9988,11023,5722
